Ad group,Ad group ID
Acura | MDX,99357626786
Acura | RDX,99357626866
Acura | TLX,99357627306
Acura | TSX,99357627346
Audi | A3,99357627586
Audi | A3 Cabriolet,99357627746
Audi | A3 Sportback e-tron,99357627786
Audi | A4 Avant,99357627986
Audi | A8 L,99357628546
Audi | Allroad,99357628706
Audi | Q5,99357628786
Audi | Q7,99357628946
Audi | R8,99357628986
Audi | RS 4,99357629026
Audi | RS 4 Cabriolet,99357629186
Audi | S4,99357629266
Audi | S4 Avant,99357629426
Audi | S5,99357629506
Audi | S7,99357629746
Audi | S8 Plus,99357629946
Audi | SQ5,99357629986
BMW | 3-series,99357630666
BMW | 4-series,99357630706
BMW | 640i,99357631106
BMW | 7-series Hybrid,99357631386
BMW | M4,99357631666
BMW | X1,99357631826
BMW | Z4,99357632146
BMW | i8,99357632546
Buick | LaCrosse,99357632866
Buick | Rainier,99357633066
Buick | Verano,99357633346
Cadillac | CT6,99357633546
Cadillac | CTS,99357633586
Cadillac | Escalade ESV,99357633986
Cadillac | Escalade EXT,99357634026
Cadillac | SRX,99357634226
Chevrolet | Avalanche,99357634706
Chevrolet | Aveo,99357634946
Chevrolet | Aveo5,99357634986
Chevrolet | Captiva,99357635186
Chevrolet | Corvette 427,99357635666
Chevrolet | Corvette Stingray,99357635746
Chevrolet | Corvette Z06,99357635906
Chevrolet | Cruze Limited,99357635986
Chevrolet | Equinox,99357636146
Chevrolet | Express 3500 Cargo,99357636626
Chevrolet | Express 3500 Passenger,99357636666
Chevrolet | Express Cargo,99357636706
Chevrolet | Express Cargo 1500,99357636866
Chevrolet | Express Cargo 2500,99357636906
Chevrolet | HHR Panel,99357637186
Chevrolet | Malibu Limited,99357637426
Chevrolet | Malibu Maxx,99357637586
Chevrolet | Silverado,99357637826
Chevrolet | Silverado 3500,99357638146
Chevrolet | Sonic,99357638626
Chevrolet | Suburban,99357638866
Chevrolet | Tahoe,99357639106
Chevrolet | Volt,99357639746
Chrysler | 200,99357639786
Chrysler | 300,99357639826
Chrysler | Aspen,99357639986
Chrysler | Pacifica,99357640266
Chrysler | Sebring,99357640306
Dodge | Caliber,99357640706
Dodge | Challenger,99357640786
Dodge | Dakota,99357640986
Dodge | Durango,99357641186
Dodge | Journey,99357641426
Dodge | Magnum,99357641466
Dodge | Nitro,99357641506
Dodge | Ram 1500,99357641666
